Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
1077.5,113725
1078.5,113645
1079.5,113542
1080.5,113383
1081.5,5711.54
1082.5,-607.2
1083.5,-607.2
1084.5,-607.2
1085.5,-607.2
1086.5,-607.2
1087.5,-607.2
1088.5,-607.2
1089.5,-607.2
1090.5,-2413.15
1091.5,24627
1092.5,109755
1093.5,108876
1094.5,109152
1095.5,109765
1096.5,110737
1097.5,111911
1098.5,113920
1099.5,114099
1100.5,114016
1101.5,113894
1102.5,86133.7
1103.5,-607.2
1104.5,-607.2
1105.5,-607.2
1106.5,-607.2
1107.5,-607.2
1108.5,-607.2
1109.5,-607.2
1110.5,-607.2
1111.5,-607.2
1112.5,-607.2
1113.5,-607.2
1114.5,-607.2
1115.5,-3785.73
1116.5,58530.3
1117.5,105124
1118.5,88958.6
1119.5,77669.6
1120.5,-835.968
1121.5,-2434.35
1122.5,-835.968
1123.5,-607.2
1124.5,-607.2
1125.5,-607.2
1126.5,-607.2
1127.5,-607.2
1128.5,-607.2
1129.5,-607.2
1130.5,-607.2
1131.5,-607.2
1132.5,-607.2
1133.5,-607.2
1134.5,-607.2
1135.5,-607.2
1136.5,-607.2
1137.5,-607.2
1138.5,-2608.78
1139.5,-3552.29
1140.5,96594.1
1141.5,111753
1142.5,111744
1143.5,108337
1144.5,-835.968
1145.5,-2219.23
1146.5,-835.968
1147.5,-607.2
1148.5,-607.2
1149.5,-607.2
1150.5,-607.2
1151.5,-607.2
1152.5,-607.2
1153.5,-607.2
1154.5,-607.2
1155.5,-607.2
1156.5,-607.2
1157.5,-607.2
1158.5,-607.2
1159.5,-607.2
1160.5,-607.2
1161.5,-607.2
1162.5,-3954.03
1163.5,76596
1164.5,109711
1165.5,109222
1166.5,109207
1167.5,109662
1168.5,110551
1169.5,111743
1170.5,112329
1171.5,112510
1172.5,112436
1173.5,112329
1174.5,112174
1175.5,28035.3
1176.5,-607.2
1177.5,-607.2
1178.5,-607.2
1179.5,-607.2
1180.5,-607.2
1181.5,-607.2
1182.5,-607.2
1183.5,-607.2
1184.5,-607.2
1185.5,-607.2
1186.5,-3829.26
1187.5,68116.8
1188.5,110735
1189.5,110105
1190.5,109884
1191.5,110266
1192.5,111061
1193.5,112050
1194.5,113351
1195.5,113515
1196.5,113412
1197.5,100448
1198.5,-607.2
1199.5,-607.2
1200.5,-607.2
1201.5,-607.2
1202.5,-607.2
1203.5,-607.2
1204.5,-607.2
1205.5,-607.2
1206.5,-607.2
1207.5,-607.2
1208.5,-607.2
1209.5,-2162.82
1210.5,-3843.58
1211.5,106629
1212.5,111797
1213.5,110684
1214.5,110286
1215.5,110893
1216.5,111796
1217.5,111980
1218.5,112631
1219.5,112729
1220.5,36944.9
1221.5,-607.2
1222.5,-607.2
1223.5,-607.2
1224.5,-607.2
1225.5,-607.2
1226.5,-607.2
1227.5,-607.2
1228.5,-607.2
1229.5,-607.2
1230.5,-607.2
1231.5,-607.2
1232.5,-607.2
1233.5,-3083.49
1234.5,42351.4
1235.5,109958
1236.5,108955
1237.5,108438
1238.5,108335
1239.5,109000
1240.5,110074
1241.5,111394
1242.5,113985
1243.5,114184
1244.5,114131
1245.5,114061
1246.5,113969
1247.5,113850
1248.5,91498.9
1249.5,-607.2
1250.5,-607.2
1251.5,-607.2
1252.5,-607.2
1253.5,-607.2
1254.5,-607.2
1255.5,-607.2
1256.5,-607.2
1257.5,-2025.41
1258.5,-1862.98
1259.5,-835.968
1260.5,-1723.95
1261.5,-1584.56
1262.5,-2539.34
1263.5,-607.2
1264.5,-2094.89
1265.5,-835.968
1266.5,-607.2
1267.5,-607.2
1268.5,-607.2
1269.5,-607.2
1270.5,-607.2
1271.5,-607.2
1272.5,-607.2
1273.5,-607.2
1274.5,-607.2
1275.5,-607.2
1276.5,-607.2
1277.5,-607.2
1278.5,-607.2
1279.5,-607.2
1280.5,-607.2
1281.5,-607.2
1282.5,-2167.34
1283.5,-3780.96
1284.5,102855
1285.5,102448
1286.5,111652
1287.5,111972
1288.5,110663
1289.5,73899.3
1290.5,-835.968
1291.5,-607.2
1292.5,-607.2
1293.5,-607.2
1294.5,-607.2
1295.5,-607.2
1296.5,-607.2
1297.5,-607.2
1298.5,-607.2
1299.5,-607.2
1300.5,-607.2
1301.5,-607.2
1302.5,-607.2
1303.5,-607.2
1304.5,-607.2
1305.5,-2012.69
1306.5,-2755.92
1307.5,-5202.43
1308.5,110501
1309.5,110160
1310.5,110160
1311.5,110467
1312.5,111170
1313.5,112052
1314.5,111123
1315.5,111265
1316.5,111133
1317.5,54968.5
1318.5,-607.2
1319.5,-607.2
1320.5,-607.2
1321.5,-607.2
1322.5,-607.2
1323.5,-607.2
1324.5,-607.2
1325.5,-607.2
1326.5,-607.2
1327.5,-607.2
1328.5,-607.2
1329.5,-3369.33
1330.5,48231
1331.5,110155
1332.5,109183
1333.5,108646
1334.5,108633
1335.5,109149
1336.5,110122
1337.5,111399
1338.5,113802
1339.5,113988
1340.5,113932
1341.5,113870
1342.5,113791
1343.5,113667
1344.5,62461.8
1345.5,-607.2
1346.5,-607.2
1347.5,-607.2
1348.5,-607.2
1349.5,-607.2
1350.5,-607.2
1351.5,-607.2
1352.5,-607.2
1353.5,-3695.51
1354.5,57817.9
1355.5,109725
1356.5,108710
1357.5,108162
1358.5,108202
1359.5,108788
1360.5,109853
1361.5,111346
1362.5,112424
1363.5,114272
1364.5,114455
1365.5,114403
1366.5,114339
1367.5,114254
1368.5,114135
1369.5,97439.8
1370.5,-607.2
1371.5,-607.2
1372.5,-607.2
1373.5,-607.2
1374.5,-607.2
1375.5,-607.2
1376.5,-607.2
1377.5,-3187.53
1378.5,810.236
1379.5,109716
1380.5,108693
1381.5,108137
1382.5,108172
1383.5,108785
1384.5,109950
1385.5,111259
1386.5,112260
1387.5,114320
1388.5,114499
1389.5,114435
1390.5,114354
1391.5,114253
1392.5,114110
1393.5,44136.5
1394.5,-607.2
1395.5,-607.2
1396.5,-607.2
1397.5,-607.2
1398.5,-607.2
1399.5,-607.2
1400.5,-607.2
1401.5,-607.2
1402.5,-4308.46
1403.5,99019.1
1404.5,110592
1405.5,109969
1406.5,110585
1407.5,110367
1408.5,111446
1409.5,112046
1410.5,113746
1411.5,113900
1412.5,113777
1413.5,69317.5
1414.5,-607.2
1415.5,-607.2
1416.5,-607.2
1417.5,-607.2
1418.5,-607.2
1419.5,-607.2
1420.5,-607.2
1421.5,-607.2
1422.5,-607.2
1423.5,-607.2
1424.5,-607.2
1425.5,-2799.84
1426.5,16737.6
1427.5,111265
1428.5,111141
1429.5,110695
1430.5,110481
1431.5,109670
1432.5,110387
1433.5,111441
1434.5,111944
1435.5,113442
1436.5,113599
1437.5,113489
1438.5,57857.7
1439.5,-607.2
1440.5,-607.2
1441.5,-607.2
1442.5,-607.2
1443.5,-607.2
1444.5,-607.2
1445.5,-607.2
1446.5,-607.2
1447.5,-607.2
1448.5,-607.2
1449.5,-3792.87
1450.5,64527.8
1451.5,108815
1452.5,107687
1453.5,107113
1454.5,107210
1455.5,107937
1456.5,109188
1457.5,110745
1458.5,112182
1459.5,114319
1460.5,114526
1461.5,114495
1462.5,114452
1463.5,114394
1464.5,114323
1465.5,114230
1466.5,114098
1467.5,62353.6
1468.5,-607.2
1469.5,-607.2
1470.5,-607.2
1471.5,-607.2
1472.5,-607.2
1473.5,-3592
1474.5,52108.4
1475.5,109659
1476.5,108687
1477.5,109078
1478.5,109113
1479.5,109733
1480.5,110772
1481.5,111158
1482.5,112219
1483.5,114393
1484.5,114586
1485.5,114542
1486.5,114480
1487.5,114392
1488.5,114271
1489.5,112896
1490.5,-607.2
1491.5,-607.2
1492.5,-607.2
1493.5,-607.2
1494.5,-607.2
1495.5,-607.2
1496.5,-607.2
1497.5,-3813.65
1498.5,66706.6
1499.5,110253
1500.5,110524
1501.5,110104
1502.5,110113
1503.5,110657
1504.5,111587
1505.5,111752
1506.5,114150
1507.5,114343
1508.5,114280
1509.5,114206
1510.5,114094
1511.5,59311.8
1512.5,-607.2
1513.5,-607.2
1514.5,-607.2
1515.5,-607.2
1516.5,-607.2
1517.5,-607.2
1518.5,-607.2
1519.5,-607.2
1520.5,-607.2
1521.5,-2475.03
1522.5,-973.24
1523.5,111951
1524.5,74495.3
1525.5,111845
1526.5,79095.7
1527.5,111691
1528.5,111892
1529.5,111673
1530.5,36528.6
1531.5,-607.2
1532.5,-607.2
1533.5,-607.2
1534.5,-607.2
1535.5,-607.2
1536.5,-607.2
1537.5,-607.2
1538.5,-607.2
1539.5,-607.2
1540.5,-607.2
1541.5,-607.2
1542.5,-607.2
1543.5,-607.2
1544.5,-607.2
1545.5,-3605.69
1546.5,53151.8
1547.5,110616
1548.5,110807
1549.5,110415
1550.5,110457
1551.5,110913
1552.5,111890
1553.5,112653
1554.5,113088
1555.5,113280
1556.5,113199
1557.5,113065
1558.5,71315.8
1559.5,-607.2
1560.5,-607.2
1561.5,-607.2
1562.5,-607.2
1563.5,-607.2
1564.5,-607.2
1565.5,-607.2
1566.5,-607.2
1567.5,-607.2
1568.5,-607.2
1569.5,-3183.51
1570.5,5780.86
